H_ID,H_start,F_ID,F_start
30-平家1250_01001,10,40-天平1592_01001,1140
30-平家1250_01001,30,40-天平1592_01001,1140
30-平家1250_01001,50,40-天平1592_01001,1140
30-平家1250_01001,60,40-天平1592_01001,1140
30-平家1250_01001,70,40-天平1592_01001,1140
30-平家1250_01001,80,40-天平1592_01001,1140
30-平家1250_01001,90,40-天平1592_01001,1140
30-平家1250_01001,100,40-天平1592_01001,1140
30-平家1250_01001,120,40-天平1592_01001,1140
30-平家1250_01001,140,40-天平1592_01001,1140
30-平家1250_01001,150,40-天平1592_01001,1140
30-平家1250_01001,160,40-天平1592_01001,1140
30-平家1250_01001,180,40-天平1592_01001,1140
30-平家1250_01001,190,40-天平1592_01001,1140
30-平家1250_01001,210,40-天平1592_01001,1140
30-平家1250_01001,230,40-天平1592_01001,1140
30-平家1250_01001,240,40-天平1592_01001,1140
30-平家1250_01001,250,40-天平1592_01001,1140
30-平家1250_01001,260,40-天平1592_01001,1140
30-平家1250_01001,270,40-天平1592_01001,1140
30-平家1250_01001,280,40-天平1592_01001,1140
30-平家1250_01001,300,40-天平1592_01001,1140
30-平家1250_01001,320,40-天平1592_01001,1140
30-平家1250_01001,330,40-天平1592_01001,1140
30-平家1250_01001,340,40-天平1592_01001,1140
30-平家1250_01001,350,40-天平1592_01001,1140
30-平家1250_01001,390,40-天平1592_01001,1140
30-平家1250_01001,400,40-天平1592_01001,1140
30-平家1250_01001,430,40-天平1592_01001,1140
30-平家1250_01001,440,40-天平1592_01001,1140
30-平家1250_01001,450,40-天平1592_01001,1140
30-平家1250_01001,460,40-天平1592_01001,1140
30-平家1250_01001,500,40-天平1592_01001,1140
30-平家1250_01001,510,40-天平1592_01001,1140
30-平家1250_01001,520,40-天平1592_01001,1140
30-平家1250_01001,530,40-天平1592_01001,1140
30-平家1250_01001,540,40-天平1592_01001,1140
30-平家1250_01001,550,40-天平1592_01001,1140
30-平家1250_01001,560,40-天平1592_01001,1140
30-平家1250_01001,570,40-天平1592_01001,1140
30-平家1250_01001,580,40-天平1592_01001,1140
30-平家1250_01001,590,40-天平1592_01001,1140
30-平家1250_01001,620,40-天平1592_01001,1140
30-平家1250_01001,630,40-天平1592_01001,1140
30-平家1250_01001,660,40-天平1592_01001,1140
30-平家1250_01001,670,40-天平1592_01001,1140
30-平家1250_01001,680,40-天平1592_01001,1140
30-平家1250_01001,700,40-天平1592_01001,1140
30-平家1250_01001,710,40-天平1592_01001,1140
30-平家1250_01001,740,40-天平1592_01001,1140
30-平家1250_01001,750,40-天平1592_01001,1140
30-平家1250_01001,760,40-天平1592_01001,1140
30-平家1250_01001,780,40-天平1592_01001,1140
30-平家1250_01001,790,40-天平1592_01001,1140
30-平家1250_01001,800,40-天平1592_01001,1140
30-平家1250_01001,810,40-天平1592_01001,1140
30-平家1250_01001,820,40-天平1592_01001,1140
30-平家1250_01001,830,40-天平1592_01001,1140
30-平家1250_01001,840,40-天平1592_01001,1140
30-平家1250_01001,860,40-天平1592_01001,1140
30-平家1250_01001,870,40-天平1592_01001,1140
30-平家1250_01001,890,40-天平1592_01001,1140
30-平家1250_01001,910,40-天平1592_01001,1140
30-平家1250_01001,920,40-天平1592_01001,1140
30-平家1250_01001,960,40-天平1592_01001,1140
30-平家1250_01001,970,40-天平1592_01001,1140
30-平家1250_01001,980,40-天平1592_01001,1140
30-平家1250_01001,990,40-天平1592_01001,1140
